"BIO";"Biologie";"NW";"304"
"BK";"Bildende Kunst";"KF";"106"
"CHE";"Chemie";"NW";"303"
"CHI";"Chinesisch";"FS";"107"
"DE";"Deutsch";"DE";"101"
"DS";"Darstellendes Spiel";"KF";"108"
"EK";"Geografie";"AF2";"203"
"EN";"Englisch";"FS";"102"
"EP2";"ZK Englisch AF2";"ZK";"308"
"EP3";"ZK Englisch AF3";"ZK";"309"
"FR";"Französisch";"FS";"104"
"GE";"Geschichte";"AF2";"202"
"IN";"Informatik";"IN";"305"
"LA";"Latein";"FS";"103"
"MA";"Mathematik";"MA";"301"
"ME";"Musik-Ensemble";"ZK";"109"
"MLA";"med. Latein";"ZK";"110"
"MU";"Musik";"KF";"105"
"PHI";"Philosophie";"AF2";"205"
"PHY";"Physik";"NW";"302"
"PW";"Politikwissenschaften";"AF2";"201"
"REV";"Religion evangelisch";"ZK";"206"
"RKA";"Religion katholisch";"ZK";"207"
"SKA";"SK Film";"ZK";"311"
"SKB";"SK Theater in Berlin";"ZK";"314"
"SKC";"SK Wiss. Arbeiten";"ZK";"312"
"SKD";"SK Chemie und Medizin";"ZK";"313"
"SKE";"SK Methoden der Biologie";"ZK";"318"
"SKF";"SK Astronomie";"ZK";"315"
"SKG";"SK Leist.-Steig. d. Train";"ZK";"316"
"SKH";"SK Gesund Und Entspannt";"ZK";"317"
"SKZ";"ZK Cambridge Prof";"ZK";"310"
"SP";"Sport";"SP";"306"
"SPT";"Sport-Theorie";"ZK";"307"
"WIW";"Wirtschaft";"AF2";"204"
